"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
| `isigeo_iduser` |  | `int4` |
| `NOM` | Nom | `varchar2` |
| `CODE_INSEE` | Code INSEE | `number` |
| `GC_KEY` |  | `number` |
| `GROUPE` | Groupe | `number` |
| `ENTITE_SD_VOIRIE_2024` |  | `number` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/af2dba2af9114289998bde1943d16279).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.152000";"2024-07-05T00:00:00";"decoupages,donnees-ouvertes,limites-administratives,quartiers";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2024-07-05T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";3274;386
"61a515916494f4023699339e";"Référentiel routier du réseau départemental - Département du Loiret";"referentiel-routier-du-reseau-departemental-departement-du-loiret-1";"";"https://www.data.gouv.fr/datasets/referentiel-routier-du-reseau-departemental-departement-du-loiret-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Tracé géographique des routes départementales du Loiret. La donnée contient l'identifiant de la route sous différentes syntaxes. Les mesures d'itinéraire sont incluses. Elles permettent de déterminer le sens de la route et la distance en mètres de chaque point par rapport à l'origine. Cette couche peut donc être utilisée pour le référencement linéaire d'événements d'itinéraire.
**Contexte de collecte**
Ce référentiel permet de connaître et d'identifier le réseau routier départemental. C'est le support qui permet de réaliser des représentations cartographiques des données routières localisées en Route + PR + abscisse.
**Méthode de collecte**
Les sources utilisées pour la constitution et la mise à jour sont la BD TOPO® de l'IGN, les plans de récolement des nouveaux aménagements ou des relevés GPS.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ROUTE` | Nom de la route (nom court) | `char` |
| `GESTION` | Nom du gestionnaire de la route  | `char` |
| `OBJECTID_1` |  | `integer` |
| `IDROUTE` | Nom de la route (nom long) | `char` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/4e8d11faf1134039a5b21092c290f1db).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:01:53.298000";"2024-11-13T00:00:00";"donnees-ouvertes,infrastructures,reseau,reseau-routier,route,transports";False;1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2441;240
"61a515906494f4023699339d";"Trafic routier - Sections de comptage - Département du Loiret - 2013";"trafic-routier-sections-de-comptage-departement-du-loiret-2013-1";"";"https://www.data.gouv.fr/datasets/trafic-routier-sections-de-comptage-departement-du-loiret-2013-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Les sections homogènes de trafic sur le réseau routier Départemental du Loiret - Édition 2013
**Contexte de collecte**
La connaissance du trafic total à écouler sur une route (tous véhicules confondus) est indispensable pour donner à la voie des caractéristiques géométriques en rapport avec son importance et les vitesses pratiquées, établir des bilans accidentologiques et proposer des aménagements d’itinéraires ou de sécurité. Elle est également indispensable pour calculer la structure de chaussée nécessaire dans le cas de projets de réhabilitation ou d’aménagement, à partir du trafic poids lourd.
**Méthode de collecte**
Le réseau routier départemental a été découpé en sections homogènes de trafic. Outre les stations permanentes, des comptages temporaires sont effectués par les équipes de la D2I chaque année pour compléter la base trafic routier. Annuellement, ce sont près de 500 poses et déposes de compteurs qui ont été effectuées en régie. Dans le but de consolider et de fiabiliser la base trafic routier, il a été décidé de compter au moins une fois toutes les 5 années le trafic de chaque section. La fréquence de comptage est calculée en fonction de critères prédéfinis.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ROUTE` |  | `char` |
| `CUMULD` |  | `double` |
| `CATEGORIE` |  | `double` |
| `IDROUTE` |  | `char` |
| `LIEU` |  | `char` |
| `MJA_PL` |  | `double` |
| `PRF` |  | `double` |
| `ABF` |  | `double` |
| `PR_FIN` |  | `char` |
| `FORME_LENG` |  | `double` |
| `PL` |  | `double` |
| `MJA` |  | `double` |
| `PRD` |  | `double` |
| `OBJECTID` |  | `integer` |
| `ABD` |  | `double` |
| `CUMULF` |  | `double` |
| `PR_CPTGE` |  | `char` |
| `TYPE` |  | `char` |
| `PR_ORIG` |  | `char` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/2ddd6146aa494de9a7c4dcc4d517c5ea).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"2013-01-01";"2013-12-31";"";"";False;"2021-11-29T19:01:52.923000";"2024-11-13T00:00:00";"2013,donnees-ouvertes,infrastructures,mobilite,route,sections-de-comptage,transports";"2025-11-03T00:04:18.339000";3;3;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1802;428
"61a515906494f4023699339c";"Sites aidés au titre de la taxe d'aménagement des Espaces Naturels Sensibles";"sites-aides-au-titre-de-la-taxe-damenagement-des-espaces-naturels-sensibles-1";"";"https://www.data.gouv.fr/datasets/sites-aides-au-titre-de-la-taxe-damenagement-des-espaces-naturels-sensibles-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Sites aidés au titre de la taxe d'aménagement des Espaces Naturels Sensibles (TAENS), anciennement Taxe Départementale des Espaces Naturels Sensibles (TDENS)
**Contexte de collecte**
La Taxe d’Aménagement des Espaces Naturels Sensibles (TAENS, anciennement TDENS) est établie sur la construction, la reconstruction et l'agrandissement des bâtiments (à l’exception des installations à usage
agricole, forestier ou ayant vocation de service public et après sinistre).
La taxe est assise sur la valeur de l'ensemble immobilier ou sur la superficie des terrains faisant l'objet de l'autorisation en cas d’installations et travaux divers. Son taux est fixé par délibération du Conseil départemental.
Couche aux projets d'acquisition, de restauration, d'aménagement ou de gestion de zones naturelles, élaborés à partir de la TDENS. Fixé à 0,9% depuis 1997, le taux a été récemment augmenté à 2,2% en septembre 2011 dans le cadre de la réforme de la fiscalité de l’urbanisme. Le produit fiscal correspondant sera perçu à partir de l’année 2013.
La couche géographique de points recense les projets d'acquisition, de restauration, d'aménagement ou de gestion de zones naturelles, élaborés à partir de la TAENS. Cette couche doit être associée à la table attributaire des TAENS.
ATTENTION : jusqu'en 2013, les aides accordées aux projets d'acquisition, de restauration, d'aménagement ou de gestion de sentiers ne sont pas intégrées dans cette base de données.
**Méthode de collecte**
Création de la couche à partir d'une table attributaire relative aux dossiers d'aides versées aux communes, ou groupement de communes. La géolocalisation des sites est effectuée à partir des connaissances terrain du technicien ENS, des dossiers de subvention sur fond SCAN 25 de l'IGN.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `NOM_SITE` | Nom du site | `char` |
| `ID_AIDE` | Identifiant de l'aide | `char` |
| `INSEE_NUM` | Code INSEE au format numérique | `integer` |
| `OBJECTID` |  | `integer` |
| `N_PARCELLE` | Parcelles concernées | `char` |
| `INSEE_COM` | Code INSEE au format texte | `char` |
| `NOM_COM` | Nom de la commune | `char` |
| `DAT_CPCONV` | Date de la convention | `char` |
| `st_area(shape)` |  | `double` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/920c3ee601df421b994539822cadeb04).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:01:52.543000";"2022-04-25T00:00:00";"donnees-ouvertes,environnement-loiret,espace-naturel-sensible,taens,taxes";"2024-04-13T00:40:10.452000";1;1;"csv";"DCAT";"dcat.isogeo.com";"";"2022-04-25T00:00:00";"";"0.56";0;0;0;0;0;0;0;1374;190
"61a515906494f4023699339b";"Trafic routier - Sections de comptage - Département du Loiret - 2015";"trafic-routier-sections-de-comptage-departement-du-loiret-2015-1";"";"https://www.data.gouv.fr/datasets/trafic-routier-sections-de-comptage-departement-du-loiret-2015-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Les sections homogènes de trafic sur le réseau routier Départemental du Loiret - Édition 2015
**Contexte de collecte**
La connaissance du trafic total à écouler sur une route (tous véhicules confondus) est indispensable pour donner à la voie des caractéristiques géométriques en rapport avec son importance et les vitesses pratiquées, établir des bilans accidentologiques et proposer des aménagements d’itinéraires ou de sécurité. Elle est également indispensable pour calculer la structure de chaussée nécessaire dans le cas de projets de réhabilitation ou d’aménagement, à partir du trafic poids lourd.
**Méthode de collecte**
Le réseau routier départemental a été découpé en sections homogènes de trafic. Outre les stations permanentes, des comptages temporaires sont effectués par les équipes de la D2I chaque année pour compléter la base trafic routier. Annuellement, ce sont près de 500 poses et déposes de compteurs qui ont été effectuées en régie. Dans le but de consolider et de fiabiliser la base trafic routier, il a été décidé de compter au moins une fois toutes les 5 années le trafic de chaque section. La fréquence de comptage est calculée en fonction de critères prédéfinis.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `PR_ORIG` |  | `char` |
| `ROUTE` |  | `char` |
| `PRD` |  | `double` |
| `OBJECTID` |  | `integer` |
| `VALUE_TYPE` |  | `char` |
| `PR_CPTGE` |  | `char` |
| `CUMULD` |  | `double` |
| `ABD` |  | `double` |
| `RD_PR` |  | `char` |
| `PL` |  | `double` |
| `CUMULF` |  | `double` |
| `CATEGORIE` |  | `double` |
| `ABF` |  | `double` |
| `PR_FIN` |  | `char` |
| `PRF` |  | `double` |
| `CPTGE_YEAR` |  | `double` |
| `IDROUTE` |  | `char` |
| `LIBELLE` |  | `char` |
| `TYPE` |  | `char` |
| `MJA_PL` |  | `double` |
| `MJA` |  | `double` |
| `LIEU` |  | `char` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/854c9e1f11334d0e97fa470f2ef7f05d).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"2015-01-01";"2015-12-31";"";"";False;"2021-11-29T19:01:52.178000";"2024-11-13T00:00:00";"2015,donnees-ouvertes,infrastructures,mobilite,route,sections-de-comptage,transports";"2025-11-03T00:04:18.793000";3;3;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1467;329
"61a51590b8b9b1b0e24ed7a0";"Chemins ruraux inscrits au PDIPR - Département du Loiret";"chemins-ruraux-inscrits-au-pdipr-departement-du-loiret-1";"";"https://www.data.gouv.fr/datasets/chemins-ruraux-inscrits-au-pdipr-departement-du-loiret-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"La donnée contient le linéaire des chemins ruraux inscrits au Plan Départemental d'Itinéraires et de Randonnées.
**Contexte de collecte**
Depuis la loi de décentralisation de 1983, les départements sont responsables de la mise en place des Plans départementaux d’Itinéraires de Promenade et de Randonnée ou PDIPR.
Un PDIPR permet le développement et la pérennisation de la randonnée en protégeant les chemins ruraux sur lesquels peuvent reposer les itinéraires.
**Méthode de collecte**
Données créées en 2012 par le Conseil départemental du Loiret à partir des délibérations fournies par les communes dans le cadre de l'inscription des chemins ruraux au PDIPR du Loiret.
Ces données sont mises à jour chaque année selon les demandes d'inscription, de modification ou de désinscription faites par les communes du Département.
Les informations fournies par les communes ont été vérifiées à partir du cadastre numérisé de la DGI, du fond SCAN 25 de l'IGN et de l'Orthophotographie 2010 du Conseil départemental du Loiret.
Les données géographiques sont calées sur le référentiel routier de la BD TOPO© de l'IGN (champ ""CREATION"" = AUTOMATIQUE).
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `NOM_COMMUN` | Nom de la commune | `char` |
| `OBJECTID_1` |  | `integer` |
| `CANTON` | Nom du canton | `char` |
| `SESSION_` | Date de délibération du département du Loiret | `char` |
| `COMPLEMENT` | Complément d'information | `char` |
| `ETAT` | Etat de l'inscription au PDIPR | `char` |
| `CR_NUMERO` | Numéro du chemin rural | `char` |
| `NATURE` |  | `char` |
| `LONGUEUR` | Longueur (mètres) | `double` |
| `RETOUR_COM` | Retour ou non à la commune | `char` |
| `CODE_INSEE` | Code INSEE de la commune | `char` |
| `ID` | Identifiant du tronçon routier de la BD Topo de l'IGN | `char` |
| `DATE_NUMER` | Date de la numérisation du tracé | `char` |
| `AJOUT_CR` | Chemin rural ajouté | `char` |
| `NUMERO` |  | `char` |
| `NUMERO_OLD` |  | `char` |
| `ETAT_INSCR` | Etat de l'inscription | `char` |
| `NOM_TOTAL` | Nom complet du chemin rural | `char` |
| `DELIB_COMM` | Date de la délibération de la commune | `char` |
| `CR_NOM` | Nom du chemin rural | `char` |
| `CREATION` | Type de création du tracé | `char` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/986a15aa66d84e5cb28b39b0d90f0c77).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:01:52.097000";"2024-11-13T00:00:00";"donnees-ouvertes,environnement-loiret,infrastructures,mobilite,route,transports";False;1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.56";0;0;1;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 1, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";4342;604
"61a51590d1a040ba8f4ed799";"Trafic routier - Sections de comptage - Département du Loiret - 2008";"trafic-routier-sections-de-comptage-departement-du-loiret-2008-1";"";"https://www.data.gouv.fr/datasets/trafic-routier-sections-de-comptage-departement-du-loiret-2008-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Les sections homogènes de trafic sur le réseau routier Départemental du Loiret - Edition 2008
**Contexte de collecte**
La connaissance du trafic total à écouler sur une route (tous véhicules confondus) est indispensable pour donner à la voie des caractéristiques géométriques en rapport avec son importance et les vitesses pratiquées, établir des bilans accidentologiques et proposer des aménagements d’itinéraires ou de sécurité. Elle est également indispensable pour calculer la structure de chaussée nécessaire dans le cas de projets de réhabilitation ou d’aménagement, à partir du trafic poids lourd.
**Méthode de collecte**
Le réseau routier départemental a été découpé en sections homogènes de trafic. Outre les stations permanentes, des comptages temporaires sont effectués par les équipes de la D2I chaque année pour compléter la base trafic routier. Annuellement, ce sont près de 500 poses et déposes de compteurs qui ont été effectuées en régie. Dans le but de consolider et de fiabiliser la base trafic routier, il a été décidé de compter au moins une fois toutes les 5 années le trafic de chaque section. La fréquence de comptage est calculée en fonction de critères prédéfinis.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `MJA_PL` |  | `double` |
| `TYPE_DE_PO` |  | `char` |
| `ROUTE` |  | `char` |
| `PRD` |  | `double` |
| `PRF` |  | `double` |
| `PL` |  | `double` |
| `LIEU` |  | `char` |
| `CUMULF` |  | `double` |
| `PR_CPT` |  | `char` |
| `MJA` |  | `double` |
| `OBJECTID` |  | `integer` |
| `ABF` |  | `double` |
| `ABD` |  | `double` |
| `LONGUEUR` |  | `double` |
| `CATEGORIE` |  | `char` |
| `CUMULD` |  | `double` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/a6214165b00140bfb379c66f8c8145b8).";"";"annual";"License Not Specified";"";"";"";"";False;"2021-11-29T19:01:52.074000";"2024-11-13T00:00:00";"2008,donnees-ouvertes,infrastructures,mobilite,route,sections-de-comptage,transports";"2025-11-03T00:04:19.401000";1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1665;134
"61a51590ee19390a814ed7a0";"Trafic routier - Sections de comptage - Département du Loiret - 2009";"trafic-routier-sections-de-comptage-departement-du-loiret-2009-1";"";"https://www.data.gouv.fr/datasets/trafic-routier-sections-de-comptage-departement-du-loiret-2009-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Les sections homogènes de trafic sur le réseau routier Départemental du Loiret - Edition 2009
**Contexte de collecte**
La connaissance du trafic total à écouler sur une route (tous véhicules confondus) est indispensable pour donner à la voie des caractéristiques géométriques en rapport avec son importance et les vitesses pratiquées, établir des bilans accidentologiques et proposer des aménagements d’itinéraires ou de sécurité. Elle est également indispensable pour calculer la structure de chaussée nécessaire dans le cas de projets de réhabilitation ou d’aménagement, à partir du trafic poids lourd.
**Méthode de collecte**
Le réseau routier départemental a été découpé en sections homogènes de trafic. Outre les stations permanentes, des comptages temporaires sont effectués par les équipes de la D2I chaque année pour compléter la base trafic routier. Annuellement, ce sont près de 500 poses et déposes de compteurs qui ont été effectuées en régie. Dans le but de consolider et de fiabiliser la base trafic routier, il a été décidé de compter au moins une fois toutes les 5 années le trafic de chaque section. La fréquence de comptage est calculée en fonction de critères prédéfinis.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `LIEU` |  | `char` |
| `PL` |  | `double` |
| `PRD` |  | `integer` |
| `MJA` |  | `integer` |
| `CUMULD` |  | `integer` |
| `OBJECTID` |  | `integer` |
| `PRF` |  | `integer` |
| `TYPE_DE_PO` |  | `char` |
| `CATEGORIE` |  | `char` |
| `ABD` |  | `integer` |
| `LONGUEUR` |  | `integer` |
| `ROUTE` |  | `char` |
| `CUMULF` |  | `integer` |
| `PR_CPT` | PR__Cpt | `char` |
| `ABF` |  | `integer` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/de6603d23f5a4d1a99e43e9498bd60ad).";"";"annual";"License Not Specified";"";"";"";"";False;"2021-11-29T19:01:52.033000";"2024-11-13T00:00:00";"2009,donnees-ouvertes,infrastructures,mobilite,route,sections-de-comptage,transports";"2025-11-03T00:04:20.134000";2;2;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1491;265
"61a51590f0f2e393784ed7a0";"Inventaire du patrimoine foncier parcellaire départemental - Département du Loiret";"inventaire-du-patrimoine-foncier-parcellaire-departemental-departement-du-loiret-1";"";"https://www.data.gouv.fr/datasets/inventaire-du-patrimoine-foncier-parcellaire-departemental-departement-du-loiret-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Cette couche contient le parcellaire pour lequel le Département du Loiret est propriétaire.
**Contexte de collecte**
Cette donnée a été créé par le service SIG du département du Loiret pour les services concernés par l'aménagement du territoire et pour l'EPFL.
**Méthode de collecte**
L’inventaire du patrimoine foncier du Département du Loiret se fait sur la base des données littérales du cadastre actualisées au 1er janvier de chaque année. Les propriétés bâties et non bâties appartenant au Conseil Départemental sont recensées à l'issue d'un croisement entre les propriétaires et les parcelles. Les parcelles sont ensuite extraites à partir du Plan Cadastral Informatisé de la Direction Générale des Finances Publiques©.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `SHAPE.AREA` |  | `double` |
| `DLIGN3` | 3eme ligne d’adresse | `char` |
| `GTOPER` | indicateur de personne physique ou morale | `char` |
| `CODLOT` | Code du lot | `char` |
| `CCODEPLA2` | Code département de l’adresse | `char` |
| `GTYP5` | Type de la 5eme ligne d’adresse | `char` |
| `DLIGN5` | 5eme ligne d’adresse | `char` |
| `CODSEC` | Code de la section | `char` |
| `ID_PARC` | Identifiant | `char` |
| `GPDL` | Indicateur d’appartenance à pdl. Identifiant de la pdl | `char` |
| `CODCOMM_1` | Code de la commune | `char` |
| `ID_VOIE` | Identifiant de la voie | `char` |
| `DNUPRO` | Compte communal du propriétaire de la suf | `char` |
| `SHAPE.LEN` |  | `double` |
| `GTYP6` | Type de la 6eme ligne d’adresse | `char` |
| `GTYP3` | Type de la 3eme ligne d’adresse | `char` |
| `CCODRO` | Code du droit réel ou particulier | `char` |
| `DLIGN6` | 6eme ligne d’adresse | `char` |
| `DNVOIRIE` | Numéro de voirie | `char` |
| `DDENOM` | Dénomination de personne physique ou morale | `char` |
| `GPARBAT` | Indicateur de parcelle référençant un bâtiment | `char` |
| `CODARPENT` | Code d'arpentage | `char` |
| `CCOGRM` | Code groupe de personne morale | `char` |
| `DINDIC` | Indice de répétition | `char` |
| `ID_PROP` | Identifiant du propriétaire | `char` |
| `CCOQUA` | Code qualité de personne physique | `char` |
| `DLIGN4` | 4eme ligne d’adresse | `char` |
| `OBJECTID` |  | `integer` |
| `SUPF` | Superficie | `double` |
| `CODCOMM` | Code de la commune | `char` |
| `CODSUBSEC` | Code de la sous section | `char` |
| `DNATPR` | Code nature de personne physique ou morale | `char` |
| `DFORME` | Forme juridique abrégée majic2 | `char` |
| `GURBPA` | Caractère Urbain de la parcelle | `char` |
| `CCODEM` | Code commune INSEE | `char` |
| `CODMODIF` | Code de la modification | `char` |
| `DSGLPM` | Sigle de personne morale | `char` |
| `NUMERO` | Numéro de parcelle | `integer` |
| `CODPARC` | Code de la parcelle | `char` |
| `GTYP4` | Type de la 4eme ligne d’adresse | `char` |
| `FIGPLAN` | Figure au plan | `char` |
| `CCOPAY` | Code de pays étranger et TOM | `char` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/c6f91e1c84454ccca531c44708345522).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"2015-10-01";"2016-09-30";"";"";False;"2021-11-29T19:01:52.023000";"2020-08-24T00:00:00";"donnees-ouvertes,foncier,parcelle";"2024-04-13T00:40:10.516000";1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2020-08-24T00:00:00";"";"0.56";0;0;0;0;0;0;0;1184;78
"61a5158fb894fbbbfc4ed7a0";"Zones AOC viticoles";"zones-aoc-viticoles-1";"";"https://www.data.gouv.fr/datasets/zones-aoc-viticoles-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"L’Appellation d’origine contrôlée (AOC) désigne des produits répondant aux critères de l’AOP et protège la dénomination sur le territoire français. Elle constitue une étape vers l’AOP, désormais signe européen. Elle peut aussi concerner des produits non couverts par la réglementation européenne (cas des produits de la forêt par exemple).La production des vins est strictement réglementée et contrôlée par l’INAO (Institut National des Appellations d’Origine). Cette réglementation prévoit la délivrance d’un label par le Syndicat viticole concerné. Les vins d’Appellation d’Origine doivent répondre à des conditions de production fixées par arrêté : aire de production délimitée, encépagement, degré alcoolique minimal, rendement maximal, techniques culturales, normes analytiques et contrôle organoleptique Les aires d’appellation d’origine « AOC» concernées couvrent le Département du Loiret.
**Contexte de collecte**
Données fournies par l'INAO dans le cadre d'une convention d'échange de données avec le Département du Loiret.
**Méthode de collecte**
Numérisation des données à partir du Plan Cadastral Informatisé du Loiret.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `MILLESIME` | Millésime | `char` |
| `OLD_NOMCOM` | Ancien nom commune | `char` |
| `DENOMINATI` | Dénomination | `char` |
| `ID_DENOM` | Identifiant dénomination | `double` |
| `NEW_NOMCOM` | Nom commune | `char` |
| `FILE_NAME` | Nom fichier | `char` |
| `ID_APP` | Identifiant appellation | `double` |
| `OBJECTID` | Identifiant d'objet | `integer` |
| `APPELLATIO` | Appellation | `char` |
| `NEW_INSEE` | Code INSEE | `char` |
| `OLD_INSEE` | Ancien code INSEE | `char` |
| `st_area(shape)` |  | `double` |
| `st_length(shape)` |  | `double` |
